post_title,post_content,post_status,featured_image,acf_price,acf_abv,acf_size,acf_supplier_name,acf_buy_url,acf_tier,tax_drink_type,tax_district,tax_origin
Cincoro Blanco Tequila,"An ultra-premium blanco tequila from the highlands of Jalisco. Bright citrus, white pepper, and silky agave sweetness with a clean, vibrant finish.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328722/drinks/cincoro-blanco.webp,"HK$1,498",40%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Tequila,Central,Mexico
Cincoro Reposado Tequila,"Aged in American oak barrels for a balanced expression. Rested for smoothness while retaining agave character, with notes of vanilla, caramel, and toasted oak.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/cincoro-reposado.webp,"HK$1,898",40%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Tequila,Central,Mexico
Cincoro Anejo Tequila,"Aged 24 months in American oak. Rich and complex with dark chocolate, dried cherry, roasted agave, and a lingering spiced finish.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/cincoro-anejo.webp,"HK$2,288",40%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Tequila,Central,Mexico
Cincoro Extra Anejo Tequila,"Aged for 4+ years in new American oak. Decadent, sherry-like with dried fruit, tobacco, leather, and an exceptionally long, elegant finish.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/cincoro-extra-anejo.webp,"HK$15,988",40%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Tequila,Central,Mexico
Cincoro Gold Tequila,"The crown jewel of the Cincoro portfolio blended with reposado and extra-anejo. Opulent with notes of butterscotch, dark chocolate, dried orange peel, and a velvety finish.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/cincoro-gold.webp,"HK$3,488",40%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Tequila,Central,Mexico
Cincoro Collection,"The complete Cincoro lineup in one exclusive set. Blanco, Reposado, Anejo, Extra Anejo, and Gold. The definitive ultra-premium tequila tasting experience.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/cincoro-collection.webp,"HK$24,498",40%,700ml,HK Drinks,,featured,Tequila,Central,Mexico
Clase Azul Plata,"A vibrant, unaged plata from the highlands of Jalisco. Crisp and clean with fresh agave, citrus zest, and white flowers bottled in the iconic handmade ceramic decanter.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-plata.webp,"HK$1,898",40%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Tequila,Central,Mexico
Clase Azul Reposado,"Aged for eight months in American oak and Bourbon casks. Smooth and warm with notes of vanilla, caramel, and honey. The worlds most recognized reposado.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-reposado.webp,"HK$1,898",40%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Tequila,Central,Mexico
Clase Azul Gold,"A blend of reposado, anejo, and extra-anejo tequilas finished in Sherry casks. Luxuriously layered with dried fruit, nutmeg, and dark toffee.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-gold.webp,"HK$3,998",40%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Tequila,Central,Mexico
Clase Azul Anejo,"Aged for 25 months in American whiskey barrels. Deep amber with rich notes of cooked agave, oak spice, dark chocolate, and dried plum.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-anejo.webp,"HK$8,198",40%,700ml,HK Drinks,,featured,Tequila,Central,Mexico
