post_title,post_content,post_status,featured_image,acf_phone,acf_website,acf_booking,acf_price_band,acf_rating,acf_signature,acf_tier,tax_venue_type,tax_district
Quinary,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2851 3223,https://www.quinary.hk/,SevenRooms,$$$,4.6,Molecular Mixology,enhanced,Cocktail Bar,Central
The Old Man,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2703 1899,https://www.theoldmanhk.com/,SevenRooms,$$$,4.6,Classic Cocktails,enhanced,Cocktail Bar,Soho
Penicillin,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3426 3949,http://www.penicillinbarhk.com/,Bistrochat,$$$,4.5,Sustainable Drinks,enhanced,Cocktail Bar,Central
ARGO,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3196 8882,https://www.fourseasons.com/hongkong/dining/lounges/argo/,Four Seasons,$$$$,4.4,Luxury Cocktails,enhanced,Hotel Bar,Central
DarkSide,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3891 8732,,Rosewood,$$$$,4.7,Vintage Spirits,enhanced,Jazz Bar,Tsim Sha Tsui
Bar Leone,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 5555 1188,,Walk-in / Waitlist,$$$,4.8,Aperitivo,enhanced,Italian Bar,Sheung Wan
COA,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2813 5787,,Bistrochat,$$$,4.7,Agave Spirits,enhanced,Mezcal Bar,Sheung Wan
Cardinal Point,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2300 1988,,SevenRooms,$$$$,4.5,Harbour Views,enhanced,Rooftop Bar,The Peak
VEA Lounge,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2711 8639,,Website,$$$$,4.6,Pairing Menus,enhanced,Fine Dining Lounge,Central
Honky Tonks Tavern,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 9888 1777,,Bistrochat,$$$,4.4,Whisky Highballs,enhanced,Live Music Bar,Central
Sake Central,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3611 0727,,Website,$$$,4.6,Sake Flights,enhanced,Sake Bar,Central
Salon 10,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2710 1010,,Website,$$$,4.3,Champagne Nights,enhanced,Wine Bar,Central
Sugar,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3968 3730,https://www.sugar-hk.com/,Website,$$$,4.4,Sunset Cocktails,enhanced,Rooftop Bar,Taikoo Shing
OZONE,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2263 2270,https://www.ritzcarlton.com/en/hotels/hong-kong/dining/ozone,Ritz-Carlton,$$$$,4.6,Highest Bar World,enhanced,Hotel Bar,West Kowloon
Popinjays,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3141 8888,https://www.niccolohotels.com/en/murray-hong-kong/restaurants-and-bars/popinjays,The Murray,$$$$,4.5,Heritage Terrace,enhanced,Rooftop Bar,Central
Aqua Spirit,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3427 2288,https://www.aqua.com.hk/,Website,$$$,4.5,Skyline Views,enhanced,Cocktail Bar,Tsim Sha Tsui
Terrible Baby,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2710 6888,https://www.eaton.hk/dining/terrible-baby,Walk-in,$$$,4.3,Eccentric Terrace,enhanced,Rooftop Bar,Jordan
Cruise Restaurant & Bar,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3896 9896,https://www.hyattcentric.com/dining/cruise,Hyatt Centric,$$$,4.5,Tropical Cocktails,enhanced,Rooftop Bar,North Point
Aeris,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2682 8821,https://www.cordishotels.com/en/hong-kong/dining/aeris,Cordis Hotel,$$$,4.2,Happy Hour,enhanced,Sky Bar,Mong Kok
La Rambla Terrace,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2661 1161,https://laramblahk.com/,IFC,$$$,4.3,Mediterranean Terrace,enhanced,Spanish Bar,Central
Topping Lane,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2435 0028,,Website,$$$,4.4,Seasonal Cocktails,enhanced,Rooftop Bar,Central
Apothecary,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2893 8633,,,$$$,,,featured,Cocktail Bar,Central
Bibi & Baba,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2111 0034,,,$$$,,,featured,Wine Bar,Wan Chai
Draft Land,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2525 0045,,,$$$,,,featured,Tap Cocktails,Central
Mostly Harmless,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2117 0988,,,$$$,,,featured,Cocktail Bar,Kennedy Town
Terrible Baby,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3903 8888,,,$$$,,,featured,Rooftop Bar,Jordan
Tell Camellia,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2668 1900,,,$$$,,,featured,Tea Cocktails,Central
Artifact Bar,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3891 1828,,,$$$,,,featured,Hotel Lounge,K11 Musea
Mora Lounge,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 5226 7618,,,$$$,,,featured,Sake & Izakaya,Sheung Wan
001,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3988 0881,,,$$$,,,featured,Speakeasy,Lan Kwai Fong
Call Me AL,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2810 6161,,,$$$,,,featured,Cocktail Bar,Central
Mizunara: The Library,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2110 8150,,,$$$,,,featured,Whisky Bar,Wan Chai
Foxglove,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2116 8949,,,$$$,,,featured,Live Jazz Bar,Central
Bamboo Bar,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2733 8754,,,$$$,,,featured,Hotel Bar,Tsim Sha Tsui
Aqua Spirit,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 3427 2288,,,$$$,,,featured,Harbour View Bar,Tsim Sha Tsui
The Aubrey,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2825 4001,,,$$$,,,featured,Japanese Bar,Admiralty
Lobster Bar,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2825 4007,,,$$$,,,featured,Hotel Lounge,Central
Nook,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 5711 2003,,,$$$,,,featured,Natural Wine Bar,Sai Ying Pun
Somm,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2138 6800,,,$$$,,,featured,Wine Bar,Tsim Sha Tsui
The Pontiac,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2521 3855,,,$$$,,,featured,Dive Bar,Soho
Varga Lounge,,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785202989/HK_Timelapse_2_hklr2m.png,+852 2530 2120,,,$$$,,,featured,Champagne Bar,Central
Dr Fern’s Gin Parlour,,publish,,+852 2217 6994,,,$$$,,,standard,Gin Bar,Central
The Captain’s Bar,,publish,,+852 2369 1111,,,$$$,,,standard,Hotel Bar,Tsim Sha Tsui
The Diplomat,,publish,,+852 3619 0302,,,$$$,,,standard,Cocktail Bar,Central
Shady Acres,,publish,,+852 2810 1288,,,$$$,,,standard,Wine Bar,Sheung Wan
Le Boudoir,,publish,,+852 2110 4433,,,$$$,,,standard,Nightclub,Central
